Account number,City long name,City short name,Country,Region,C40,Access,Reporting year,Source,Type,Amount,Units
35859,City of Cleveland,Cleveland,USA,North America,,Public,2017,Airport(s),Electricity,60468697,kWh
31177,Salt Lake City,Salt Lake City,USA,North America,,Public,2017,Airport(s),Electricity,54328713,kWh
31108,City of Houston,Houston,USA,North America,C40,Public,2017,Airport(s),Electricity,109608224,kWh
63999,"City of Miami Beach, FL","Miami Beach, FL",USA,North America,,Public,2017,Buildings,Electricity,43996054,kWh
62845,Jinja Municipal Council,Jinja ,Uganda,Africa,,Public,2017,Buildings,Electricity,405,MWh
62864,"City of Lancaster, PA","Lancaster, PA",USA,North America,,Public,2017,Buildings,Electricity,39607979,kWh
61790,"City of Emeryville, CA","Emeryville, CA",USA,North America,,Public,2017,Buildings,Electricity,999930,kWh
31052,City of Cardiff,Cardiff,United Kingdom,Europe,,Public,2017,Buildings,Electricity,42866140,kWh
8242,City of Helsinki,Helsinki,Finland,Europe,,Public,2017,Buildings,Electricity,439.73,GWh
8242,City of Helsinki,Helsinki,Finland,Europe,,Public,2017,Buildings,Heat,968.42,GWh
8242,City of Helsinki,Helsinki,Finland,Europe,,Public,2017,Buildings,Cooling,2.58,GWh
58569,City of Podgorica,Podgorica,Montenegro,Europe,,Public,2017,Buildings,Electricity,746001,kWh
36261,Comune di Bolzano,Bolzano,Italy,Europe,,Public,2017,Buildings,Electricity,16896634,kWh
36261,Comune di Bolzano,Bolzano,Italy,Europe,,Public,2017,Buildings,Heat,3063942,kWh
36263,Comune di Ravenna,Ravenna,Italy,Europe,,Public,2017,Buildings,Electricity,11410,MWh
58671,Elsinore Municipality,Elsinore,Denmark,Europe,,Public,2017,Buildings,Heat,37346,MWh
59165,Gladsaxe Kommune,Gladsaxe,Denmark,Europe,,Public,2017,Buildings,Electricity,15146,MWh
59165,Gladsaxe Kommune,Gladsaxe,Denmark,Europe,,Public,2017,Buildings,Heat,117025,GJ
58489,Hoeje-Taastrup Kommune,Hoeje-Taastrup,Denmark,Europe,,Public,2017,Buildings,Electricity,9801,MWh
58489,Hoeje-Taastrup Kommune,Hoeje-Taastrup,Denmark,Europe,,Public,2017,Buildings,Heat,28996,MWh
55442,Município de Moita,Moita,Portugal,Europe,,Public,2017,Buildings,Electricity,38580,MWh
58796,Odder Kommune,Odder,Denmark,Europe,,Public,2017,Buildings,Heat,9000000,kWh
58796,Odder Kommune,Odder,Denmark,Europe,,Public,2017,Buildings,Electricity,3400000,kWh
50672,Santarém,Santarém,Portugal,Europe,,Public,2017,Buildings,Electricity,23386,MWh
35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo ,Israel,South and West Asia,,Public,2017,Buildings,,76141,MWh
19233,Torres Vedras Municipality,Torres Vedras ,Portugal,Europe,,Public,2017,Buildings,Electricity,2511000,MWh
19233,Torres Vedras Municipality,Torres Vedras ,Portugal,Europe,,Public,2017,Buildings,Other: natural gas,47382,MWh
19233,Torres Vedras Municipality,Torres Vedras ,Portugal,Europe,,Public,2017,Buildings,Other:,46,MWh
60140,City of Nakuru,Nakuru,Kenya,Africa,,Public,2017,Buildings,Electricity,,kWh
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,C40,Public,2017,Buildings,Electricity,179299243.72,kWh
31149,City of Athens,Athens,Greece,Europe,C40,Public,2017,Buildings,Electricity,21330,MWh
35858,City of Cape Town,Cape Town,South Africa,Africa,C40,Public,2017,Buildings,Electricity,193015891,kWh
14088,City of Oslo,Oslo,Norway,Europe,C40,Public,2017,Buildings,Electricity,532,GWh
14088,City of Oslo,Oslo,Norway,Europe,C40,Public,2017,Buildings,Other: District heating,184,GWh
31175,City of Paris,Paris,France,Europe,C40,Public,2017,Buildings,Heat,179.7,GWh
31175,City of Paris,Paris,France,Europe,C40,Public,2017,Buildings,Cooling,1,GWh
31175,City of Paris,Paris,France,Europe,C40,Public,2017,Buildings,Electricity,219,GWh
54102,City of Albany,Albany,USA,North America,,Public,2017,Buildings,Electricity,7552746,kWh
58627,"City of Alton, IL","Alton, IL",USA,North America,,Public,2017,Buildings,Electricity,2671777,kWh
55799,"City of Arlington, VA","Arlington, VA",USA,North America,,Public,2017,Buildings,Electricity,98744,MWh
1093,City of Atlanta,Atlanta,USA,North America,,Public,2017,Buildings,Electricity,614897421,kWh
49787,City of Benicia,Benicia,USA,North America,,Public,2017,Buildings,Electricity,2770786,kWh
54104,City of Boulder,Boulder,USA,North America,,Public,2017,Buildings,Electricity,9921675,kWh
35475,City of Calgary,Calgary,Canada,North America,,Public,2017,Buildings,Electricity,157272101.13,kWh
35475,City of Calgary,Calgary,Canada,North America,,Public,2017,Buildings,Heat,51677,GJ
55800,City of Cambridge,Cambridge,USA,North America,,Public,2017,Buildings,Electricity,24869854,kWh
35859,City of Cleveland,Cleveland,USA,North America,,Public,2017,Buildings,Electricity,51356575,kWh
35859,City of Cleveland,Cleveland,USA,North America,,Public,2017,Buildings,Steam,43416034572,Btus
35859,City of Cleveland,Cleveland,USA,North America,,Public,2017,Buildings,Cooling,31735748040,Btus
43910,City of Columbus,Columbus,USA,North America,,Public,2017,Buildings,Electricity,87986998,kWh
43910,City of Columbus,Columbus,USA,North America,,Public,2017,Buildings,Heat,379607,Therms
35860,City of Dallas,Dallas,USA,North America,,Public,2017,Buildings,Electricity,723959026,kWh
54108,City of Durham,Durham,USA,North America,,Public,2017,Buildings,Electricity,17356849,kWh
58590,"City of Easton, PA","Easton, PA",USA,North America,,Public,2017,Buildings,Electricity,6718216,kWh
43912,City of Edmonton,Edmonton,Canada,North America,,Public,2017,Buildings,Electricity,163992769,kWh
43912,City of Edmonton,Edmonton,Canada,North America,,Public,2017,Buildings,Electricity,14297607,kWh
54070,City of Eugene,Eugene,USA,North America,,Public,2017,Buildings,Electricity,18106122,kWh
54070,City of Eugene,Eugene,USA,North America,,Public,2017,Buildings,Steam,0,Short tons
54113,City of Flagstaff,Flagstaff,USA,North America,,Public,2017,Buildings,Electricity,38173762.6,kWh
50555,City of Hamilton,Hamilton,Canada,North America,,Public,2017,Buildings,Electricity,79243012,kWh
54048,City of Knoxville,Knoxville,USA,North America,,Public,2017,Buildings,Electricity,43707647,kWh
57616,"City of Lake Forest, IL","Lake Forest, IL",USA,North America,,Public,2017,Buildings,Electricity,544430,Therms
10495,City of Las Vegas,Las Vegas,USA,North America,,Public,2017,Buildings,Electricity,37604386,kWh
10495,City of Las Vegas,Las Vegas,USA,North America,,Public,2017,Buildings,Heat,791206,Therms
50558,"City of London, ON","London, ON",Canada,North America,,Public,2017,Buildings,Electricity,106370000,kWh
50558,"City of London, ON","London, ON",Canada,North America,,Public,2017,Buildings,Steam,2846000,kWh
50558,"City of London, ON","London, ON",Canada,North America,,Public,2017,Buildings,Cooling,1392000,kWh
58513,City of Medford,Medford,USA,North America,,Public,2017,Buildings,Electricity,9941003,kWh
43908,City of Milwaukee,Milwaukee,USA,North America,,Public,2017,Buildings,Electricity,17468867.47,kWh
58530,"City of Northampton, MA","Northampton, MA",USA,North America,,Public,2017,Buildings,Electricity,10500000,kWh
50560,City of Oakland,Oakland,USA,North America,,Public,2017,Buildings,Electricity,24930952,kWh
50560,City of Oakland,Oakland,USA,North America,,Public,2017,Buildings,Other: Natural Gas,724097,Therms
14344,"City of Park City, UT","Park City, UT",USA,North America,,Public,2017,Buildings,Electricity,4291358,kWh
35878,City of Sacramento,Sacramento,USA,North America,,Public,2017,Buildings,Electricity,37734,MWh
43905,City of San Antonio,San Antonio,USA,North America,,Public,2017,Buildings,Electricity,156643322,kWh
